step,loss,grad_norm,param_norm
0,0.18276500701904297,2.4865353107452393,1379.746337890625
100,0.12600067257881165,1.3645360469818115,1379.7462158203125
200,0.0904046818614006,0.8165088295936584,1379.746337890625
300,0.06942135840654373,0.6161323189735413,1379.7469482421875
400,0.05733558535575867,0.5205847024917603,1379.7484130859375
500,0.05162046477198601,0.5269429087638855,1379.7506103515625
600,0.04797256365418434,0.5734177231788635,1379.75341796875
700,0.04441901668906212,0.4816534221172333,1379.757568359375
800,0.043151240795850754,0.46485480666160583,1379.7628173828125
900,0.04051319882273674,0.4012855291366577,1379.7689208984375
1000,0.04047039896249771,0.3729259669780731,1379.77685546875
1000,0.04047039896249771,0.3729259669780731,1379.77685546875
1100,0.03863665834069252,0.32829946279525757,1379.7862548828125
1200,0.03750289976596832,0.3488480746746063,1379.795654296875
1300,0.03559042885899544,0.27857962250709534,1379.8046875
1400,0.03647424280643463,0.38505882024765015,1379.8133544921875
1500,0.03501306101679802,0.2811181843280792,1379.8226318359375
1600,0.03519819676876068,0.3349306285381317,1379.8321533203125
1700,0.033416807651519775,0.2588064670562744,1379.8411865234375
1800,0.03319645673036575,0.27211296558380127,1379.8507080078125
1900,0.03362320736050606,0.2534215748310089,1379.859375
2000,0.032740700989961624,0.2576664388179779,1379.8677978515625
2000,0.032740700989961624,0.2576664388179779,1379.8677978515625
2100,0.032343827188014984,0.2766667902469635,1379.8768310546875
2200,0.032952141016721725,0.2925935685634613,1379.8857421875
2300,0.031264204531908035,0.24044924974441528,1379.8946533203125
2400,0.03189637511968613,0.23113387823104858,1379.9034423828125
2500,0.032580647617578506,0.34440311789512634,1379.9119873046875
2600,0.031378839164972305,0.22280441224575043,1379.9208984375
2700,0.031123334541916847,0.23796704411506653,1379.9296875
2800,0.030899295583367348,0.22557513415813446,1379.93798828125
2900,0.03280484676361084,0.31755009293556213,1379.9468994140625
3000,0.030653871595859528,0.2494303286075592,1379.9559326171875
3000,0.030653871595859528,0.2494303286075592,1379.9559326171875
3100,0.03017291985452175,0.22696319222450256,1379.9644775390625
3200,0.030790947377681732,0.24410924315452576,1379.97314453125
3300,0.02969367429614067,0.22191794216632843,1379.9820556640625
3400,0.030040668323636055,0.22685584425926208,1379.989990234375
3500,0.03011014312505722,0.22887039184570312,1379.998779296875
3600,0.029860075563192368,0.22864724695682526,1380.0072021484375
3700,0.030041303485631943,0.2322252243757248,1380.015869140625
3800,0.03000291995704174,0.24069958925247192,1380.025146484375
3900,0.029292339459061623,0.21163269877433777,1380.0330810546875
4000,0.02999700792133808,0.2615368068218231,1380.0418701171875
4000,0.02999700792133808,0.2615368068218231,1380.0418701171875
4100,0.02938748709857464,0.2120838463306427,1380.0504150390625
4200,0.02958412654697895,0.2445308119058609,1380.058349609375
4300,0.0292600616812706,0.21842563152313232,1380.0672607421875
4400,0.029800042510032654,0.2786199450492859,1380.0755615234375
4500,0.029072361066937447,0.2589913010597229,1380.083984375
4600,0.028408054262399673,0.209044948220253,1380.092529296875
4700,0.028234729543328285,0.20943202078342438,1380.1011962890625
4800,0.028257502242922783,0.21261943876743317,1380.1094970703125
4900,0.028166957199573517,0.20839717984199524,1380.1173095703125
